timestamp,value,sensor_id,location_id
2026-04-09 09:34:27.458+00,22.8,5a31c22bca88de2d3b5dd140,
2026-04-09 09:33:27.335+00,22.8,5a31c22bca88de2d3b5dd140,
2026-04-09 09:32:27.132+00,22.8,5a31c22bca88de2d3b5dd140,
2026-04-09 09:31:27.37+00,22.9,5a31c22bca88de2d3b5dd140,
2026-04-09 09:30:27.218+00,22.8,5a31c22bca88de2d3b5dd140,
2026-04-09 09:29:26.973+00,22.8,5a31c22bca88de2d3b5dd140,
2026-04-09 09:28:26.78+00,22.8,5a31c22bca88de2d3b5dd140,
2026-04-09 09:27:27.002+00,22.8,5a31c22bca88de2d3b5dd140,
2026-04-09 09:26:26.601+00,22.8,5a31c22bca88de2d3b5dd140,
2026-04-09 09:25:26.539+00,22.7,5a31c22bca88de2d3b5dd140,
2026-04-09 09:24:27.283+00,22.6,5a31c22bca88de2d3b5dd140,
2026-04-09 09:23:26.386+00,22.6,5a31c22bca88de2d3b5dd140,
2026-04-09 09:22:26.378+00,22.6,5a31c22bca88de2d3b5dd140,
2026-04-09 09:21:26.308+00,22.6,5a31c22bca88de2d3b5dd140,
2026-04-09 09:20:26.266+00,22.5,5a31c22bca88de2d3b5dd140,
2026-04-09 09:19:26.043+00,22.6,5a31c22bca88de2d3b5dd140,
2026-04-09 09:18:25.842+00,22.6,5a31c22bca88de2d3b5dd140,
2026-04-09 09:17:25.878+00,22.7,5a31c22bca88de2d3b5dd140,
2026-04-09 09:16:25.68+00,22.7,5a31c22bca88de2d3b5dd140,
2026-04-09 09:15:25.667+00,22.7,5a31c22bca88de2d3b5dd140,
2026-04-09 09:14:25.484+00,22.7,5a31c22bca88de2d3b5dd140,
2026-04-09 09:13:25.355+00,22.7,5a31c22bca88de2d3b5dd140,
2026-04-09 09:12:25.305+00,22.7,5a31c22bca88de2d3b5dd140,
2026-04-09 09:11:25.267+00,22.6,5a31c22bca88de2d3b5dd140,
2026-04-09 09:10:25.252+00,22.6,5a31c22bca88de2d3b5dd140,
2026-04-09 09:09:25.22+00,22.5,5a31c22bca88de2d3b5dd140,
2026-04-09 09:08:24.84+00,22.6,5a31c22bca88de2d3b5dd140,
2026-04-09 09:07:24.835+00,22.6,5a31c22bca88de2d3b5dd140,
2026-04-09 09:06:24.775+00,22.7,5a31c22bca88de2d3b5dd140,
2026-04-09 09:05:24.712+00,22.7,5a31c22bca88de2d3b5dd140,
2026-04-09 09:04:25.025+00,22.6,5a31c22bca88de2d3b5dd140,
2026-04-09 09:03:24.705+00,22.6,5a31c22bca88de2d3b5dd140,
2026-04-09 09:02:24.697+00,22.6,5a31c22bca88de2d3b5dd140,
2026-04-09 09:01:24.625+00,22.5,5a31c22bca88de2d3b5dd140,
2026-04-09 09:00:24.523+00,22.5,5a31c22bca88de2d3b5dd140,
2026-04-09 08:59:24.7+00,22.5,5a31c22bca88de2d3b5dd140,
2026-04-09 08:58:28.711+00,22.5,5a31c22bca88de2d3b5dd140,
2026-04-09 08:57:24.546+00,22.4,5a31c22bca88de2d3b5dd140,
2026-04-09 08:56:24.639+00,22.4,5a31c22bca88de2d3b5dd140,
2026-04-09 08:55:24.054+00,22.5,5a31c22bca88de2d3b5dd140,
2026-04-09 08:54:23.834+00,22.5,5a31c22bca88de2d3b5dd140,
2026-04-09 08:53:23.903+00,22.5,5a31c22bca88de2d3b5dd140,
2026-04-09 08:52:23.588+00,22.5,5a31c22bca88de2d3b5dd140,
2026-04-09 08:51:23.529+00,22.4,5a31c22bca88de2d3b5dd140,
2026-04-09 08:50:23.706+00,22.4,5a31c22bca88de2d3b5dd140,
2026-04-09 08:49:23.808+00,22.3,5a31c22bca88de2d3b5dd140,
2026-04-09 08:48:24.533+00,22.2,5a31c22bca88de2d3b5dd140,
2026-04-09 08:47:23.384+00,22.1,5a31c22bca88de2d3b5dd140,
2026-04-09 08:46:23.451+00,22.1,5a31c22bca88de2d3b5dd140,
2026-04-09 08:45:23.251+00,22.1,5a31c22bca88de2d3b5dd140,
