timestamp,value,sensor_id,sensor_title,sensor_type,unit,box_id
2026-04-06T13:08:42.006Z,22.6,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:09:36.177Z,22.6,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:10:36.244Z,22.4,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:11:39.673Z,22.3,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:12:36.372Z,21.9,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:21:48.293Z,23.0,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:24:37.438Z,22.2,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:25:35.849Z,22.4,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:26:35.711Z,22.3,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:27:32.159Z,22.2,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:28:32.017Z,22.0,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:29:38.324Z,21.8,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:30:35.152Z,21.9,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:31:29.097Z,21.7,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:32:32.044Z,21.9,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:33:29.390Z,21.9,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:34:29.568Z,21.9,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:35:36.063Z,21.6,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:36:30.247Z,21.4,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:37:29.872Z,21.3,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:38:29.952Z,21.0,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:39:30.353Z,20.9,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:40:30.180Z,20.8,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:41:30.220Z,21.2,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:42:30.346Z,21.3,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:43:30.375Z,21.4,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:44:30.398Z,21.7,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:45:38.122Z,21.9,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:46:30.579Z,21.8,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:47:30.581Z,21.5,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:48:30.726Z,21.5,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:49:30.807Z,21.2,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:50:30.877Z,21.1,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:51:30.907Z,20.9,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:52:30.954Z,20.9,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:53:30.995Z,21.2,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:54:33.800Z,21.0,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:55:38.644Z,20.9,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:56:31.229Z,21.3,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:57:31.301Z,21.5,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:58:31.778Z,21.4,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:59:31.414Z,21.4,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T14:00:37.696Z,21.5,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T14:01:31.630Z,21.0,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T14:02:31.928Z,20.8,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T14:03:31.986Z,20.7,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T14:04:32.065Z,20.9,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T14:05:40.268Z,21.3,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T14:06:35.769Z,21.0,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T14:07:31.855Z,20.9,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T14:08:32.014Z,20.8,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T14:09:32.281Z,20.7,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T14:10:32.324Z,20.7,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T14:11:32.342Z,20.6,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T10:13:27.235Z,31.4,69d0277891c0af000745122a,Humidity,,%,p810vjrlrsb1xfppeydiv778
2026-04-06T10:14:27.463Z,31.5,69d0277891c0af000745122a,Humidity,,%,p810vjrlrsb1xfppeydiv778
2026-04-06T10:15:35.849Z,31.7,69d0277891c0af000745122a,Humidity,,%,p810vjrlrsb1xfppeydiv778
2026-04-06T10:16:27.839Z,32.2,69d0277891c0af000745122a,Humidity,,%,p810vjrlrsb1xfppeydiv778
2026-04-06T10:17:28.101Z,31.2,69d0277891c0af000745122a,Humidity,,%,p810vjrlrsb1xfppeydiv778
2026-04-06T10:18:28.315Z,31.3,69d0277891c0af000745122a,Humidity,,%,p810vjrlrsb1xfppeydiv778
